"シドニアの騎士 第九惑星戦役","2015"
"アルスラーン戦記","2015"
"夜ノヤッターマン","2015"
"幸腹グラフィティ","2015"
"純潔のマリア","2015"
"心が叫びたがってるんだ。","2015"
"英国一家日本を食べる","2015"
"ラブライブ！The School Idol Movie","2015"
"Charlotte ","2015"
"櫻子さんの足下には死体が埋まっている","2015"
"えとたま","2015"
"ヤング ブラック・ジャック","2015"
"城下町のダンデライオン","2015"
"青春×機関銃","2015"
"ゆるゆり さん☆ハイ！（3期）","2015"
"Fate／kaleid liner プリズマ☆イリヤ 2wei Herz！","2015"
"WakeUpGirls！青春の影（前編）","2015"
"がっこうぐらし！","2015"
"劇場版サイコパス","2015"
"SHOW BY ROCK！！","2015"
"デュラララ！！×2(3期)","2015"
"不思議なソメラちゃん","2015"
"うーさーのその日暮らし 夢幻編（3期）","2015"
"アクエリオンロゴス","2015"
"戦姫絶唱シンフォギアGX","2015"
"ローリング☆ガールズ","2015"
"ハロー！！ きんいろモザイク","2015"
"WakeUpGirls! Beyond the Bottom(後編)","2015"
"乱歩奇譚 Game of Laplace","2015"
"ノラガミ ARAGOTO（2期）","2015"
"六花の勇者","2015"
"放課後のプレアデス","2015"
"ハッカドール THE あにめーしょん","2015"
"GOD EATER","2015"
"オーバーロード","2015"
"To LOVEる－とらぶる－ダークネス（2期）","2015"
"ユリ熊嵐","2015"
"うしおととら","2015"
"Classroom☆Crisis","2015"
"ミス・モノクローム -The Animation- 2","2015"
"ミス・モノクローム-The Animation-3","2015"
"デス・パレード","2015"
"境界のRINNE","2015"
"長門有希ちゃんの消失","2015"
"小森さんは断れない！","2015"
"リトルウィッチアカデミア 魔法仕掛けのパレード","2015"
"落第騎士の英雄譚","2015"
"対魔導学園35試験小隊","2015"
"わかば＊ガール","2015"
"ダンジョンに出会いを求めるのは間違っているだろうか","2015"
"それが声優！","2015"
"血液型くん！3","2015"
"WORKING！！！ ","2015"
"学戦都市アスタリスク","2015"
"影鰐 - KAGEWANI -","2015"
